ano,nome,categoria,total_vendas,qtd_vendida,margem_media
2023,Ovo de Páscoa 500g,Ovos,283863.15,3411,61.39
2023,Trufa Belga Dark 200g,Trufas,150817.49,3548,57.38
2023,Ovo de Páscoa 250g,Ovos,149756.65,3244,60.94
2023,Trufa Avelã ao Leite 200g,Trufas,133318.46,3360,57.02
2023,Bombom Sortido Cx 300g,Bombons,129515.91,3598,60.93
2023,Tablete Dark 70% 100g,Tabletes,40461.48,3408,61.97
2023,Tablete Ao Leite 100g,Tabletes,36941.56,3674,62.05
2023,Bombom Individual,Bombons,12394.41,3436,66.6
2024,Ovo de Páscoa 500g,Ovos,287329.01,3453,61.45
2024,Ovo de Páscoa 250g,Ovos,149961.35,3247,60.92
2024,Trufa Belga Dark 200g,Trufas,147160.43,3470,57.41
2024,Trufa Avelã ao Leite 200g,Trufas,137676.87,3458,57.18
2024,Bombom Sortido Cx 300g,Bombons,123465.96,3428,60.93
2024,Tablete Dark 70% 100g,Tabletes,38107.33,3193,62.07
2024,Tablete Ao Leite 100g,Tabletes,33329.57,3306,62.18
2024,Bombom Individual,Bombons,11868.73,3300,66.53
