ano,mes,nome_mes,regiao,is_pascoa,is_natal,is_dias_maes,is_namorados,is_data_especial,total_vendas,total_margem,qtd_transacoes,ticket_medio,vendas_ano_anterior,variacao_yoy_pct
2023,1,January,Centro-Oeste,False,False,False,False,False,19497.0,12176.0,291,67.0,,
2023,1,January,Nordeste,False,False,False,False,False,38393.7,23897.3,575,66.7717,,
2023,1,January,Norte,False,False,False,False,False,13892.1,8673.8,213,65.2211,,
2023,1,January,Sudeste,False,False,False,False,False,138019.0,86183.1,2096,65.8488,,
2023,1,January,Sul,False,False,False,False,False,61538.6,38412.4,953,64.5736,,
2023,2,February,Centro-Oeste,False,False,False,False,False,22144.5,14066.2,220,100.6568,,
2023,2,February,Nordeste,False,False,False,False,False,52740.8,33380.3,547,96.4183,,
2023,2,February,Norte,False,False,False,False,False,25056.2,15909.8,230,108.94,,
2023,2,February,Sudeste,False,False,False,False,False,195229.6,123278.3,1999,97.6636,,
2023,2,February,Sul,False,False,False,False,False,87320.6,55416.9,913,95.6414,,
2023,3,March,Centro-Oeste,False,False,False,False,False,19350.2,12235.6,179,108.1017,,
2023,3,March,Centro-Oeste,True,False,False,False,True,37955.65,22877.95,408,93.0286,19350.2,96.1512
2023,3,March,Nordeste,False,False,False,False,False,39200.0,24767.3,403,97.2705,,
2023,3,March,Nordeste,True,False,False,False,True,77978.38,47079.78,883,88.3107,39200.0,98.9244
2023,3,March,Norte,False,False,False,False,False,13657.4,8627.6,133,102.6872,,
2023,3,March,Norte,True,False,False,False,True,26899.55,16194.75,331,81.2675,13657.4,96.9595
2023,3,March,Sudeste,False,False,False,False,False,123993.3,78514.7,1306,94.9413,,
2023,3,March,Sudeste,True,False,False,False,True,267947.21,161632.61,3074,87.1657,123993.3,116.0981
2023,3,March,Sul,False,False,False,False,False,57933.0,36657.8,583,99.3705,,
2023,3,March,Sul,True,False,False,False,True,129894.98,78512.98,1433,90.6455,57933.0,124.2159
2023,4,April,Centro-Oeste,False,False,False,False,False,18910.3,11956.3,188,100.5867,,
2023,4,April,Centro-Oeste,True,False,False,False,True,26962.71,16301.21,306,88.1134,18910.3,42.5821
2023,4,April,Nordeste,False,False,False,False,False,33685.3,21282.2,395,85.2792,,
