venda_id,data,loja_id,produto_id,vendedor_id,quantidade,preco_unitario,desconto_pct,valor_total,custo_total,margem
1,2023-01-01,L001,P008,V001,2,3.9,0.0,7.8,2.4,5.4
2,2023-01-01,L001,P001,V006,1,45.9,0.0,45.9,18.0,27.9
3,2023-01-01,L001,P005,V002,3,12.9,0.0,38.7,13.5,25.2
4,2023-01-01,L001,P002,V002,3,42.9,0.0,128.7,51.0,77.7
5,2023-01-01,L001,P008,V001,1,3.9,0.0,3.9,1.2,2.7
6,2023-01-01,L001,P008,V006,2,3.9,0.0,7.8,2.4,5.4
7,2023-01-01,L001,P007,V001,2,38.9,0.0,77.8,28.0,49.8
8,2023-01-01,L001,P007,V004,3,38.9,0.0,116.7,42.0,74.7
9,2023-01-01,L001,P001,V001,2,45.9,0.0,91.8,36.0,55.8
10,2023-01-01,L001,P001,V002,2,45.9,0.0,91.8,36.0,55.8
11,2023-01-01,L001,P002,V005,4,42.9,0.0,171.6,68.0,103.6
12,2023-01-01,L001,P007,V001,2,38.9,0.0,77.8,28.0,49.8
13,2023-01-01,L001,P007,V002,1,38.9,0.0,38.9,14.0,24.9
14,2023-01-01,L001,P008,V006,3,3.9,0.0,11.7,3.6,8.1
15,2023-01-01,L001,P008,V005,2,3.9,0.0,7.8,2.4,5.4
16,2023-01-01,L001,P006,V002,6,10.9,0.0,65.4,22.8,42.6
17,2023-01-01,L001,P006,V005,1,10.9,0.0,10.9,3.8,7.1
18,2023-01-01,L001,P005,V001,2,12.9,0.0,25.8,9.0,16.8
19,2023-01-01,L001,P002,V006,3,42.9,0.0,128.7,51.0,77.7
20,2023-01-01,L001,P006,V003,2,10.9,0.0,21.8,7.6,14.2
21,2023-01-01,L001,P005,V002,3,12.9,0.0,38.7,13.5,25.2
22,2023-01-01,L001,P002,V003,4,42.9,0.0,171.6,68.0,103.6
23,2023-01-01,L001,P001,V001,1,45.9,0.0,45.9,18.0,27.9
24,2023-01-01,L001,P006,V001,3,10.9,0.0,32.7,11.4,21.3
25,2023-01-01,L001,P005,V003,2,12.9,0.0,25.8,9.0,16.8
26,2023-01-01,L001,P007,V003,3,38.9,0.0,116.7,42.0,74.7
27,2023-01-01,L001,P001,V006,5,45.9,0.0,229.5,90.0,139.5
28,2023-01-01,L002,P006,V005,1,10.9,0.0,10.9,3.8,7.1
29,2023-01-01,L002,P001,V004,4,45.9,0.0,183.6,72.0,111.6
30,2023-01-01,L002,P001,V005,2,45.9,0.0,91.8,36.0,55.8
31,2023-01-01,L002,P005,V006,1,12.9,0.0,12.9,4.5,8.4
32,2023-01-01,L002,P007,V003,1,38.9,0.0,38.9,14.0,24.9
33,2023-01-01,L002,P007,V002,5,38.9,0.0,194.5,70.0,124.5
34,2023-01-01,L002,P008,V001,5,3.9,0.0,19.5,6.0,13.5
35,2023-01-01,L002,P001,V006,2,45.9,0.0,91.8,36.0,55.8
36,2023-01-01,L002,P002,V003,1,42.9,0.0,42.9,17.0,25.9
37,2023-01-01,L002,P001,V002,2,45.9,0.0,91.8,36.0,55.8
